label, easting, northing
1,533591,2372423
2,533593,2372445
3,533593,2372468
4,533590,2372493
5,533618,2372491
6,533615,2372422
7,533616,2372394
8,533614,2372367
9,533617,2372343
10,533618,2372317
11,533616,2372294
12,533616,2372245
13,533617,2372217
14,533641,2372470
15,533642,2372445
16,533641,2372419
17,533641,2372368
18,533640,2372342
19,533639,2372319
20,533642,2372268
21,533644,2372243
22,533641,2372217
23,533641,2372191
24,533637,2372145
25,533640,2372118
26,533640,2372040
27,533643,2372019
28,533666,2371966
29,533663,2371991
30,533668,2372034
31,533668,2372092
32,533667,2372116
33,533667,2372142
34,533667,2372168
35,533666,2372191
36,533665,2372218
37,533666,2372269
38,533667,2372292
39,533666,2372343
40,533663,2372368
41,533668,2372394
42,533665,2372442
43,533665,2372468
44,533666,2372493
45,533692,2372494
46,533692,2372443
47,533693,2372395
48,533693,2372369
49,533694,2372344
50,533694,2372319
51,533690,2372268
52,533690,2372243
53,533691,2372221
54,533691,2372193
55,533692,2372145
56,533693,2372122
57,533695,2372092
58,533690,2372031
59,533692,2372017
60,533691,2371969
61,533714,2371992
62,533717,2372022
63,533719,2372042
64,533715,2372069
65,533715,2372094
66,533716,2372119
67,533715,2372171
68,533716,2372194
69,533717,2372218
70,533716,2372266
71,533715,2372294
72,533716,2372342
73,533716,2372392
74,533715,2372423
75,533715,2372443
76,533717,2372469
77,533745,2372493
78,533744,2372468
79,533742,2372421
80,533744,2372393
81,533743,2372367
82,533741,2372320
83,533739,2372293
84,533740,2372269
85,533741,2372242
86,533741,2372193
87,533740,2372168
88,533740,2372144
89,533742,2372119
90,533741,2372068
91,533740,2372044
92,533740,2371989
93,533739,2371970
94,533765,2371972
95,533766,2371996
96,533766,2372018
97,533763,2372069
98,533764,2372095
99,533765,2372142
100,533761,2372170
101,533770,2372222
102,533766,2372243
103,533768,2372293
104,533766,2372318
105,533767,2372345
106,533770,2372368
107,533766,2372418
108,533767,2372442
109,533765,2372467
110,533764,2372492
111,533794,2372468
112,533795,2372444
113,533794,2372420
114,533789,2372371
115,533790,2372345
116,533789,2372318
117,533790,2372267
118,533792,2372243
119,533791,2372219
120,533794,2372168
121,533792,2372143
122,533792,2372119
123,533793,2372068
124,533791,2372044
125,533791,2372018
126,533791,2371996
127,533820,2371968
128,533819,2371996
129,533813,2372045
130,533816,2372091
131,533813,2372120
132,533813,2372143
133,533819,2372194
134,533818,2372219
135,533815,2372244
136,533814,2372291
137,533814,2372317
138,533815,2372343
139,533815,2372370
140,533814,2372392
141,533815,2372444
142,533815,2372467
143,533815,2372492
144,533842,2372494
145,533841,2372439
146,533842,2372416
147,533843,2372390
148,533840,2372344
149,533842,2372293
150,533843,2372268
151,533843,2372241
152,533841,2372197
153,533840,2372167
154,533841,2372117
155,533842,2372093
156,533843,2372070
157,533843,2372040
158,533837,2372025
159,533839,2371966
160,533869,2371972
161,533870,2371996
162,533878,2372017
163,533867,2372069
164,533867,2372093
165,533866,2372143
166,533865,2372167
167,533867,2372191
168,533868,2372220
169,533864,2372271
170,533867,2372295
171,533866,2372320
172,533867,2372370
173,533865,2372395
174,533867,2372419
175,533867,2372469
176,533866,2372494
177,533890,2372492
178,533891,2372442
179,533891,2372418
180,533891,2372369
181,533892,2372318
182,533891,2372294
183,533889,2372267
184,533893,2372242
185,533888,2372218
186,533888,2372165
187,533888,2372140
188,533893,2372118
189,533890,2372091
190,533891,2372041
191,533889,2372017
192,533885,2371968
193,533918,2371953
194,533911,2371969
195,533919,2371985
196,533916,2372045
197,533917,2372069
198,533917,2372119
199,533916,2372143
200,533916,2372168
201,533916,2372191
202,533916,2372246
203,533915,2372294
204,533916,2372320
205,533917,2372344
206,533916,2372394
207,533916,2372417
208,533914,2372445
209,533914,2372468
210,533941,2372343
211,533940,2372294
212,533939,2372269
213,533941,2372218
214,533942,2372194
215,533940,2372168
216,533940,2372146
217,533940,2372093
218,533940,2372071
219,533938,2372034
220,533938,2372014
221,533948,2371999